"","A375","A549","HA1E","HCC515","HEK293","HELA","HT29","HUVEC","JURKAT","MCF10A","MCF7","MDAMB231","PC3","THP1","VCAP","XC.L10","XC.R10","YAPC"
"ABCF1",2.62615677026602,1.55474370514805,2.5389423095263,0.0361565053462982,-0.146894037046216,3.96554165581862,2.2130836890294,2.4565874983867,6.00810015201569,2.16995000839233,1.07989484201307,-1.23248591748151,0.917196427072798,1.78510010242462,0,3.63510258992513,4.34626158078512,3.92146853605906
"ABCF3",-7.41307039444263,-5.27570739930326,-4.94865379883693,-0.388248205184937,-2.21126816624945,-6.28013342618942,-7.11542422037858,-6.67770426720381,-4.19660007953644,-5.37679004669189,-6.52012372016907,-7.21995429017327,-7.65535511715072,-5.14079999923706,-0.438800007104874,-7.5278844833374,-6.35083341598511,-3.13189857535892
"ABHD6",3.42956114732302,2.00486739589409,5.54306540122399,0.387709319591522,2.3533510863781,5.15188324451447,5.26934236746568,2.66479166348775,4.69095003604889,2.49232993125916,3.30165074441744,2.27138355103406,3.79217996767589,5.41354990005493,1.19990003108978,5.32321961720784,4.75441972414653,3.28945347997877
"ABL1",-3.84389179486495,-2.04039203307845,-6.77520003685584,1.19438302516937,-3.59375436197628,-3.4124417801698,0.63578460422846,-3.12987914805611,-1.68825004156679,-0.353600007295609,-3.46195952270342,-3.93018476529555,-0.496872518743788,5.18379986286163,-3.42790007591248,-3.43303600947062,-5.27245871225993,-3.68362942006853
"ACBD3",-6.14515099617151,-2.63677991113879,-6.61356532115203,-0.409377843141556,-1.98128669641235,-4.66181659698486,-6.57892401401813,-3.52037496864796,-4.93390011787415,-2.57420992702246,-4.45005415444789,-4.46754986589605,-6.50688520073891,-6.93320000171661,0.448399990797043,-7.71443827946981,-5.32619222005208,-2.99941117895974
"ACD",-0.578412122451342,-0.0325900341638111,2.71379233782108,-1.06269311904907,-0.532558972862634,4.53254177172979,0.667263572032635,1.80880415936311,-1.44204998016357,-0.231380002200603,1.24853887376578,0.633849626237696,1.86815280573709,2.62460008263588,1.71549999713898,0.00867230693499247,-3.7325447400411,2.13260840707355
"ACLY",-0.162488834216044,-1.18776492164894,-2.70683075372989,0.683737456798553,-0.493412592194297,-3.75807501872381,-3.36214018326539,0.0256833223005134,-0.178949996829033,-3.90488991737366,-0.698030285861181,-1.27741309187629,-0.36108867504767,-7.01134991645813,-0.485199987888336,0.237411687771479,1.26894060770671,-1.02147864964273
"ACOT9",-3.06682463334157,-2.05383601513776,-8.93279622151301,-1.01873779296875,-3.50403425419195,-7.74022498726845,-0.854674502060964,-6.92061254382133,5.01060009002686,-2.92866992950439,-1.52317349321168,-5.82099054076455,-3.22457084671727,-2.91219991445541,-2.03239989280701,-1.36785286664963,-2.8891327381134,-8.09556119309531
"ADAM10",-0.595230069871132,-0.31010946563699,-1.30283461625759,-0.289948672056198,0.668815552764995,-1.23078336318334,-3.55065738237821,1.16404585571339,-2.96119993925095,0.661589986085892,-0.16748293068098,-0.8954093049873,-0.0960000540528979,-1.61570002138615,2.12719988822937,0.292229225238164,0.30244171867768,-0.842573573191961
"ADAT1",4.0893902686926,2.20562824065035,4.30487689146629,1.67715382575989,2.38121575929902,4.75065833330154,3.40214650332928,2.72669583559036,3.54775011539459,1.84415004253387,3.36875293177107,2.39592485536229,3.98477905137198,7.07124996185303,1.24080002307892,4.88604402542114,3.43398634592692,3.3603725069099
"ADCK3",-0.854600259890923,1.5611885826696,0.0539230755888499,-1.28300714492798,-0.175033028830181,0.828950012723605,-1.5429799258709,3.05594581738114,-2.11880004405975,0.442719978094101,0.242666528600714,3.29662441530011,-0.464673938495772,-1.88809993863106,-1.93420004844666,0.787245174249013,-0.415330549081167,1.11731691658497
"ADH5",-1.11976348895293,-0.291908048093319,-2.25616922401465,-0.222343757748604,-0.0411605689335952,0.917200009028117,-1.99356217567737,-0.53925416028748,-8.18779993057251,-0.0262099489569662,-1.17854835481747,0.0393646874211051,-1.91645143606833,2.29140010476112,1.07589995861053,-1.72570814689,-2.44470564524333,-2.42302000522614
"ADI1",2.79948592185974,1.58715871247378,3.21197302066363,0.545030474662781,0.572880073027178,-1.0694416364034,1.96275297953532,1.29986247420311,-3.03890001773834,-1.63263000249863,1.43346911409627,1.34521719542417,2.62020028063229,-1.58860000967979,2.08430004119873,5.61897563934326,6.34782711664836,-0.136809130509695
"ADO",-6.59930906845973,0.0822307264262981,-4.95436152787163,0.484893560409546,-1.60969383472746,-5.023200015227,-4.96437219473032,0.278433317939441,-7.38214993476868,2.4552100777626,-3.10998993593714,-1.59236971627582,-5.68444296291896,3.19745001941919,0.583700001239777,-9.5214516321818,-9.24113273620605,-4.42272843586074
"AGL",2.19723881093355,1.98528436706825,4.08145383000374,-2.03206205368042,1.63721783662384,3.14862511555354,0.76495387003972,3.86148750782013,-4.52344995737076,2.8731099486351,2.46347644277241,2.88331640850414,2.10381557685988,4.4726499915123,3.81119990348816,5.09792995452881,1.89988829692205,2.53187155971924
